run,group,backbone,label_set,loss_variant,strategy,epoch,split,loss,ce_img,ce_expr,align,acc_img,acc_expr,macro_f1_img,macro_f1_expr,embed512
resnet50_crop128_3class_infonce_l020_11032366_3,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.20,frozen/default,4,val,2.7242551876068117,0.8474384821891785,0.9448829617500305,4.659668669891357,0.6,0.7492,0.5480923723915114,0.675393627812916,False
resnet50_crop128_3class_infonce_l020_11032366_3,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.20,frozen/default,5,train,1.4412010663594954,0.5675744047531714,0.07674665242815629,3.9844000003276725,0.7034254807692307,0.9705528846153846,,,False
resnet50_crop128_3class_infonce_l020_11032366_3,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.20,frozen/default,5,val,2.7398363857269286,0.7976188074111938,1.012470531463623,4.648735301208496,0.6344,0.7352,0.568316788645967,0.6597142353700353,False
resnet50_crop128_3class_infonce_l050_11032366_4,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.50,frozen/default,1,train,3.7658467629016976,0.7646631208749918,0.6146242213554871,4.773118856625679,0.5399639423076923,0.6677684294871795,,,False
resnet50_crop128_3class_infonce_l050_11032366_4,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.50,frozen/default,1,val,4.036871408462525,0.9153331777572632,0.788091863822937,4.666892807006836,0.5444,0.6812,0.49926815096005606,0.6153492991331017,False
resnet50_crop128_3class_infonce_l050_11032366_4,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.50,frozen/default,2,train,3.121129280481583,0.6197321380560215,0.33417322524847126,4.334447817924695,0.6670673076923077,0.8361378205128205,,,False
resnet50_crop128_3class_infonce_l050_11032366_4,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.50,frozen/default,2,val,4.023756586074829,0.9472161384582519,0.7624150073051452,4.628250877380371,0.5376,0.7284,0.4885681900687879,0.6562563608878713,False
resnet50_crop128_3class_infonce_l050_11032366_4,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.50,frozen/default,3,train,2.87690981840476,0.5951371078307812,0.22762852143018675,4.10828837675926,0.6854967948717948,0.8932291666666666,,,False
resnet50_crop128_3class_infonce_l050_11032366_4,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.50,frozen/default,3,val,3.953671031951904,0.8259453232765198,0.8250718434333801,4.605307595825195,0.6212,0.7456,0.566273519708807,0.6720885463933296,False
resnet50_crop128_3class_infonce_l050_11032366_4,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.50,frozen/default,4,train,2.658544326439882,0.5684293206685629,0.16517352484739745,3.8498829419796285,0.7028245192307693,0.9285857371794872,,,False
resnet50_crop128_3class_infonce_l050_11032366_4,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.50,frozen/default,4,val,4.083654339599609,0.8485707026481628,0.9209875037193298,4.628192247772216,0.6004,0.7412,0.5476361425195749,0.6641212526129728,False
resnet50_crop128_3class_infonce_l050_11032366_4,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.50,frozen/default,5,train,2.509976619329208,0.5737947550339576,0.13305596911754364,3.6062517563501992,0.7042267628205128,0.9449118589743589,,,False
resnet50_crop128_3class_infonce_l050_11032366_4,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.50,frozen/default,5,val,4.106827866363526,0.7971783288955688,0.9674015565872193,4.684496083831787,0.6336,0.7364,0.5714807870323874,0.6630323432143994,False
resnet50_crop128_3class_infonce_only_11032366_5,loss_ablation,ResNet50,3-class,InfoNCE-only,frozen/default,1,train,4.852158295802581,1.0724309384822845,1.1334634973452642,4.852158295802581,0.3495592948717949,0.3603766025641026,,,False
resnet50_crop128_3class_infonce_only_11032366_5,loss_ablation,ResNet50,3-class,InfoNCE-only,frozen/default,1,val,4.68190901222229,1.2461969762802123,1.1502165147781371,4.68190901222229,0.1888,0.2936,0.16560545288055087,0.27199392180324694,False
resnet50_crop128_3class_infonce_only_11032366_5,loss_ablation,ResNet50,3-class,InfoNCE-only,frozen/default,2,train,4.363919044152285,1.0085191352245135,1.0441182721883824,4.363919044152285,0.37740384615384615,0.39453125,,,False
resnet50_crop128_3class_infonce_only_11032366_5,loss_ablation,ResNet50,3-class,InfoNCE-only,frozen/default,2,val,4.620266052627564,1.209626700592041,1.0917959424972534,4.620266052627564,0.264,0.3228,0.22242426679409857,0.3074625078995662,False
resnet50_crop128_3class_infonce_only_11032366_5,loss_ablation,ResNet50,3-class,InfoNCE-only,frozen/default,3,train,3.956112656837855,1.0156404742827783,1.0134791395603082,3.956112656837855,0.3870192307692308,0.4089543269230769,,,False
resnet50_crop128_3class_infonce_only_11032366_5,loss_ablation,ResNet50,3-class,InfoNCE-only,frozen/default,3,val,4.626222441864014,1.1926114946365356,1.1244546487808227,4.626222441864014,0.2776,0.296,0.2463321456967076,0.2867385454257463,False
resnet50_crop128_3class_infonce_only_11032366_5,loss_ablation,ResNet50,3-class,InfoNCE-only,frozen/default,4,train,3.541924079259237,1.0137811104456584,1.017572976075686,3.541924079259237,0.40685096153846156,0.41225961538461536,,,False
resnet50_crop128_3class_infonce_only_11032366_5,loss_ablation,ResNet50,3-class,InfoNCE-only,frozen/default,4,val,4.686766373443604,1.1342711954116822,1.1411206279754638,4.686766373443604,0.3684,0.2828,0.31521904319349797,0.27138025091090645,False
resnet50_crop128_8class_ce_only_11032366_6,loss_ablation,ResNet50,8-class,CE-only,frozen/default,1,train,2.049462607273689,1.0829448317870116,0.9665177686092181,0.0,0.4188701923076923,0.4522235576923077,,,False
resnet50_crop128_8class_ce_only_11032366_6,loss_ablation,ResNet50,8-class,CE-only,frozen/default,1,val,3.4129988800048827,1.6385848962783813,1.774413959312439,0.0,0.2464,0.3176,0.29080914659081486,0.28188867527553807,False
resnet50_crop128_8class_ce_only_11032366_6,loss_ablation,ResNet50,8-class,CE-only,frozen/default,2,train,0.9882748661897122,0.6014730758391894,0.38680179168780643,0.0,0.6186899038461539,0.7603165064102564,,,False
resnet50_crop128_8class_ce_only_11032366_6,loss_ablation,ResNet50,8-class,CE-only,frozen/default,2,val,2.889751628112793,1.349095601463318,1.5406560234069824,0.0,0.3296,0.4332,0.37558454732518853,0.3422330985487711,False
resnet50_crop128_8class_ce_only_11032366_6,loss_ablation,ResNet50,8-class,CE-only,frozen/default,3,train,0.6781830737988154,0.48813002155377316,0.19005305014359644,0.0,0.6673677884615384,0.8706931089743589,,,False
resnet50_crop128_8class_ce_only_11032366_6,loss_ablation,ResNet50,8-class,CE-only,frozen/default,3,val,2.7568487678527833,1.2704356142044066,1.4864131324768066,0.0,0.3532,0.5164,0.3919275579725351,0.3968329365551963,False
